,path,interval_folder,sector,ticker,size_bytes,size_gb
0,15_min_interval_stocks/Financials/SAN.csv,15_min_interval_stocks,Financials,SAN,10978331,0.010224367491900921
1,15_min_interval_stocks/Financials/FNWB.csv,15_min_interval_stocks,Financials,FNWB,1985939,0.0018495498225092888
2,15_min_interval_stocks/Financials/RDN.csv,15_min_interval_stocks,Financials,RDN,10363238,0.009651517495512962
3,15_min_interval_stocks/Financials/EOS.csv,15_min_interval_stocks,Financials,EOS,7139514,0.0066491905599832535
4,15_min_interval_stocks/Financials/DB.csv,15_min_interval_stocks,Financials,DB,12181371,0.011344785802066326
5,15_min_interval_stocks/Financials/CELZ.csv,15_min_interval_stocks,Financials,CELZ,889651,0.0008285520598292351
6,15_min_interval_stocks/Financials/OIA.csv,15_min_interval_stocks,Financials,OIA,5628001,0.005241484381258488
7,15_min_interval_stocks/Financials/VTN.csv,15_min_interval_stocks,Financials,VTN,4900598,0.004564037546515465
8,15_min_interval_stocks/Financials/VEEA.csv,15_min_interval_stocks,Financials,VEEA,94132,8.766725659370422e-05
9,15_min_interval_stocks/Financials/PRK.csv,15_min_interval_stocks,Financials,PRK,7428530,0.006918357685208321
10,15_min_interval_stocks/Financials/OFG.csv,15_min_interval_stocks,Financials,OFG,8793365,0.008189459331333637
11,15_min_interval_stocks/Financials/NEWTZ.csv,15_min_interval_stocks,Financials,NEWTZ,207214,0.00019298307597637177
12,15_min_interval_stocks/Financials/EIG.csv,15_min_interval_stocks,Financials,EIG,6870215,0.00639838632196188
13,15_min_interval_stocks/Financials/MATH.csv,15_min_interval_stocks,Financials,MATH,1277573,0.0011898325756192207
14,15_min_interval_stocks/Financials/GRF.csv,15_min_interval_stocks,Financials,GRF,892088,0.000830821692943573
15,15_min_interval_stocks/Financials/PNI.csv,15_min_interval_stocks,Financials,PNI,3940734,0.003670094534754753
16,15_min_interval_stocks/Financials/WHF.csv,15_min_interval_stocks,Financials,WHF,3766662,0.0035079773515462875
17,15_min_interval_stocks/Financials/EFX.csv,15_min_interval_stocks,Financials,EFX,10358632,0.009647227823734283
18,15_min_interval_stocks/Financials/MHLA.csv,15_min_interval_stocks,Financials,MHLA,1062434,0.0009894687682390213
19,15_min_interval_stocks/Financials/RYAN.csv,15_min_interval_stocks,Financials,RYAN,1404551,0.001308090053498745
20,15_min_interval_stocks/Financials/TRU.csv,15_min_interval_stocks,Financials,TRU,3889224,0.00362212210893631
21,15_min_interval_stocks/Financials/CWBC.csv,15_min_interval_stocks,Financials,CWBC,1143477,0.0010649459436535835
22,15_min_interval_stocks/Financials/ALTI.csv,15_min_interval_stocks,Financials,ALTI,625711,0.0005827387794852257
23,15_min_interval_stocks/Financials/OXSQZ.csv,15_min_interval_stocks,Financials,OXSQZ,231359,0.0002154698595404625
24,15_min_interval_stocks/Financials/RILYN.csv,15_min_interval_stocks,Financials,RILYN,1052412,0.000980135053396225
25,15_min_interval_stocks/Financials/CEP.csv,15_min_interval_stocks,Financials,CEP,21456,1.9982457160949707e-05
26,15_min_interval_stocks/Financials/EIC.csv,15_min_interval_stocks,Financials,EIC,1281965,0.001193922944366932
27,15_min_interval_stocks/Financials/CRVL.csv,15_min_interval_stocks,Financials,CRVL,6738149,0.006275390274822712
28,15_min_interval_stocks/Financials/BYNO.csv,15_min_interval_stocks,Financials,BYNO,78348,7.296726107597351e-05
29,15_min_interval_stocks/Financials/APOS.csv,15_min_interval_stocks,Financials,APOS,423061,0.00039400625973939896
30,15_min_interval_stocks/Financials/VEL.csv,15_min_interval_stocks,Financials,VEL,911706,0.0008490923792123795
31,15_min_interval_stocks/Financials/TETEW.csv,15_min_interval_stocks,Financials,TETEW,38017,3.540609031915665e-05
32,15_min_interval_stocks/Financials/GABC.csv,15_min_interval_stocks,Financials,GABC,5643217,0.005255655385553837
33,15_min_interval_stocks/Financials/BPYPM.csv,15_min_interval_stocks,Financials,BPYPM,848214,0.0007899608463048935
34,15_min_interval_stocks/Financials/FRHC.csv,15_min_interval_stocks,Financials,FRHC,2191568,0.002041056752204895
35,15_min_interval_stocks/Financials/PGC.csv,15_min_interval_stocks,Financials,PGC,5632318,0.005245504900813103
36,15_min_interval_stocks/Financials/DECA.csv,15_min_interval_stocks,Financials,DECA,171366,0.0001595970243215561
37,15_min_interval_stocks/Financials/NECB.csv,15_min_interval_stocks,Financials,NECB,1808828,0.0016846023499965668
38,15_min_interval_stocks/Financials/BBN.csv,15_min_interval_stocks,Financials,BBN,5421195,0.005048881284892559
39,15_min_interval_stocks/Financials/ALRS.csv,15_min_interval_stocks,Financials,ALRS,1420460,0.0013229064643383026
