,path,interval_folder,sector,ticker,size_bytes,size_gb
0,15_min_interval_stocks/Basic_Materials/ABAT.csv,15_min_interval_stocks,Basic_Materials,ABAT,536761,0.0004998976364731789
1,15_min_interval_stocks/Basic_Materials/AEM.csv,15_min_interval_stocks,Basic_Materials,AEM,11231933,0.010460552759468555
2,15_min_interval_stocks/Basic_Materials/AG.csv,15_min_interval_stocks,Basic_Materials,AG,7536727,0.0070191239938139915
3,15_min_interval_stocks/Basic_Materials/AGI.csv,15_min_interval_stocks,Basic_Materials,AGI,5067698,0.004719661548733711
4,15_min_interval_stocks/Basic_Materials/AMLI.csv,15_min_interval_stocks,Basic_Materials,AMLI,983704,0.0009161457419395447
5,15_min_interval_stocks/Basic_Materials/AMWD.csv,15_min_interval_stocks,Basic_Materials,AMWD,8109567,0.007552622817456722
6,15_min_interval_stocks/Basic_Materials/ASM.csv,15_min_interval_stocks,Basic_Materials,ASM,4561183,0.004247932694852352
7,15_min_interval_stocks/Basic_Materials/AU.csv,15_min_interval_stocks,Basic_Materials,AU,12677514,0.011806854978203773
8,15_min_interval_stocks/Basic_Materials/AUMN.csv,15_min_interval_stocks,Basic_Materials,AUMN,5192929,0.004836292006075382
9,15_min_interval_stocks/Basic_Materials/AUST.csv,15_min_interval_stocks,Basic_Materials,AUST,772558,0.0007195007055997849
10,15_min_interval_stocks/Basic_Materials/BTG.csv,15_min_interval_stocks,Basic_Materials,BTG,5945147,0.005536849610507488
11,15_min_interval_stocks/Basic_Materials/BVN.csv,15_min_interval_stocks,Basic_Materials,BVN,9441409,0.00879299733787775
12,15_min_interval_stocks/Basic_Materials/CCJ.csv,15_min_interval_stocks,Basic_Materials,CCJ,10469621,0.00975059438496828
13,15_min_interval_stocks/Basic_Materials/CDE.csv,15_min_interval_stocks,Basic_Materials,CDE,9793362,0.009120779111981392
14,15_min_interval_stocks/Basic_Materials/CGAU.csv,15_min_interval_stocks,Basic_Materials,CGAU,1387467,0.0012921793386340141
15,15_min_interval_stocks/Basic_Materials/CHNR.csv,15_min_interval_stocks,Basic_Materials,CHNR,3071016,0.0028601065278053284
16,15_min_interval_stocks/Basic_Materials/CLF.csv,15_min_interval_stocks,Basic_Materials,CLF,12520862,0.01166096143424511
17,15_min_interval_stocks/Basic_Materials/CLW.csv,15_min_interval_stocks,Basic_Materials,CLW,5419989,0.005047758109867573
18,15_min_interval_stocks/Basic_Materials/CMCL.csv,15_min_interval_stocks,Basic_Materials,CMCL,3061293,0.002851051278412342
19,15_min_interval_stocks/Basic_Materials/CRML.csv,15_min_interval_stocks,Basic_Materials,CRML,160964,0.00014990940690040588
20,15_min_interval_stocks/Basic_Materials/CRMLW.csv,15_min_interval_stocks,Basic_Materials,CRMLW,46835,4.3618492782115936e-05
